Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18159.490000000005,217913.88,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),,Amazon Route 53,0,492.5,5910.00,USD,,Hosted Zones (1)
Initial_Cost_Estimate,US East (N. Virginia),,Amazon CloudFront,0,2111.7,25340.40,USD,,"Data transfer out to internet (20 TB per month), Data transfer out to origin (20 TB per month), Number of requests (HTTPS) ( per second), Data transfer out to internet (20 GB per month), Data transfer out to origin (20 GB per month), Data transfer out to internet (20 GB per month), Data transfer out to origin (20 GB per month), Data transfer out to internet (20 GB per month), Data transfer out to origin (20 GB per month), Data transfer out to internet (20 GB per month), Data transfer out to origin (20 GB per month)"
Initial_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,1320.96,15851.52,USD,,"S3 Standard storage (50 TB per month), PUT, COPY, POST, LIST requests to S3 Standard (), GET, SELECT, and all other requests from S3 Standard (), Data returned by S3 Select (200 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),,S3 Standard - Infrequent Access,0,640,7680.00,USD,,S3 Standard-IA storage (50 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
Initial_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,4704.85,56458.20,USD,,Number of Application Load Balancers (2)
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2 ,0,3819.264,45831.17,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 12, Peak: 24, Duration of peak: 18 Hr 0 Min)), Advance EC2 instance (m6g.2xlarge), Pricing strategy ( 1 Year  None upfront), Enable monitoring (enabled), EBS Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,4912.36,58948.32,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (2), Instance type (db.m4.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
Initial_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,157.86,1894.32,USD,,Number of NAT Gateways (2)
Initial_Cost_Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0.00,USD,,"Number of EC2 instances (24), Number of EIPs per instance (1)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

Rationale : Budget has been increased to $20,000, we can scale up or out EC2 , RDS to increase hanlding number of user requests per second. Moreover, we might consider to expand Cloudfront cache at edge locations, improve Application Load Balancer ability matching to high number of incomming requests , also buy more capacity of storages to save more user data and backup 
